no,komentar,sentimen,Tweet,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW,tweet_normalized,tweet_tokens_stemmed
11,Pemagangan mahasiswa terus diperkuat lewat program Merdeka Belajar Kampus Merdeka atau MBKM. ,Positif,pemagangan mahasiswa terus diperkuat lewat program merdeka belajar kampus merdeka atau mbkm,"['pemagangan', 'mahasiswa', 'terus', 'diperkuat', 'lewat', 'program', 'merdeka', 'belajar', 'kampus', 'merdeka', 'atau', 'mbkm']",<FreqDist with 11 samples and 12 outcomes>,"['pemagangan', 'mahasiswa', 'terus', 'diperkuat', 'lewat', 'program', 'merdeka', 'belajar', 'kampus', 'merdeka', 'atau', 'mbkm']","['pemagangan', 'mahasiswa', 'terus', 'diperkuat', 'lewat', 'program', 'merdeka', 'belajar', 'kampus', 'merdeka', 'atau', 'mbkm']","['magang', 'mahasiswa', 'terus', 'kuat', 'lewat', 'program', 'merdeka', 'ajar', 'kampus', 'merdeka', 'atau', 'mbkm']"
12,temen kayak tai paling tidak lu kalo konversi mbkm ya bilang cok engga jadi ikut matkul,Negatif,temen kayak tai paling tidak lu kalo konversi mbkm ya bilang cok engga jadi ikut matkul,"['temen', 'kayak', 'tai', 'paling', 'tidak', 'lu', 'kalo', 'konversi', 'mbkm', 'ya', 'bilang', 'cok', 'engga', 'jadi', 'ikut', 'matkul']",<FreqDist with 16 samples and 16 outcomes>,"['temen', 'kayak', 'tai', 'paling', 'tidak', 'lu', 'kalo', 'konversi', 'mbkm', 'cok', 'engga', 'jadi', 'ikut', 'matkul']","['temen', 'kayak', 'tai', 'paling', 'tidak', 'lu', 'kalo', 'konversi', 'mbkm', 'cok', 'engga', 'jadi', 'ikut', 'matkul']","['temen', 'kayak', 'tai', 'paling', 'tidak', 'lu', 'kalo', 'konversi', 'mbkm', 'cok', 'engga', 'jadi', 'ikut', 'matkul']"
13,Mau nge kritik MBKM gini menarik sih kalau dibikin riset populer. Pengambilan data dengan wawancara mahasiswa atau dosen,Positif,mau nge kritik mbkm gini menarik sih kalau dibikin riset populer pengambilan data dengan wawancara mahasiswa atau dosen,"['mau', 'nge', 'kritik', 'mbkm', 'gini', 'menarik', 'sih', 'kalau', 'dibikin', 'riset', 'populer', 'pengambilan', 'data', 'dengan', 'wawancara', 'mahasiswa', 'atau', 'dosen']",<FreqDist with 18 samples and 18 outcomes>,"['mau', 'nge', 'kritik', 'mbkm', 'gini', 'menarik', 'kalau', 'dibikin', 'riset', 'populer', 'pengambilan', 'data', 'dengan', 'wawancara', 'mahasiswa', 'atau', 'dosen']","['mau', 'nge', 'kritik', 'mbkm', 'gini', 'menarik', 'kalau', 'dibikin', 'riset', 'populer', 'pengambilan', 'data', 'dengan', 'wawancara', 'mahasiswa', 'atau', 'dosen']","['mau', 'nge', 'kritik', 'mbkm', 'gin', 'tarik', 'kalau', 'bikin', 'riset', 'populer', 'ambil', 'data', 'dengan', 'wawancara', 'mahasiswa', 'atau', 'dosen']"
14,"Dan kalo kalian engga mau magang ya engga usah, atau engga mau ngambil program MBKM ya gapapa juga ( maaf kalo ternyata wajib ).",Positif,dan kalo kalian engga mau magang ya engga usah atau engga mau ngambil program mbkm ya gapapa juga maaf kalo ternyata wajib,"['dan', 'kalo', 'kalian', 'engga', 'mau', 'magang', 'ya', 'engga', 'usah', 'atau', 'engga', 'mau', 'ngambil', 'program', 'mbkm', 'ya', 'gapapa', 'juga', 'maaf', 'kalo', 'ternyata', 'wajib']",<FreqDist with 17 samples and 22 outcomes>,"['dan', 'kalo', 'kalian', 'engga', 'mau', 'magang', 'engga', 'usah', 'atau', 'engga', 'mau', 'ngambil', 'program', 'mbkm', 'gapapa', 'juga', 'maaf', 'kalo', 'ternyata', 'wajib']","['dan', 'kalo', 'kalian', 'engga', 'mau', 'magang', 'engga', 'usah', 'atau', 'engga', 'mau', 'ngambil', 'program', 'mbkm', 'gapapa', 'juga', 'maaf', 'kalo', 'ternyata', 'wajib']","['dan', 'kalo', 'kalian', 'engga', 'mau', 'magang', 'engga', 'usah', 'atau', 'engga', 'mau', 'ngambil', 'program', 'mbkm', 'gapapa', 'juga', 'maaf', 'kalo', 'nyata', 'wajib']"
15,"iya emang ada penurunan pergerakan mahasiswa sih, kaya sekarang minyak goreng mahal, kedelai langka",Negatif,iya emang ada penurunan pergerakan mahasiswa sih kaya sekarang minyak goreng mahal kedelai langka,"['iya', 'emang', 'ada', 'penurunan', 'pergerakan', 'mahasiswa', 'sih', 'kaya', 'sekarang', 'minyak', 'goreng', 'mahal', 'kedelai', 'langka']",<FreqDist with 14 samples and 14 outcomes>,"['iya', 'ada', 'penurunan', 'pergerakan', 'mahasiswa', 'kaya', 'sekarang', 'minyak', 'goreng', 'mahal', 'kedelai', 'langka']","['iya', 'ada', 'penurunan', 'pergerakan', 'mahasiswa', 'kaya', 'sekarang', 'minyak', 'goreng', 'mahal', 'kedelai', 'langka']","['iya', 'ada', 'turun', 'gera', 'mahasiswa', 'kaya', 'sekarang', 'minyak', 'goreng', 'mahal', 'kedelai', 'langka']"
16,untuk program MBKM wirausaha kalau di kampus aku minimal perusahaan yang sudah berjalan,Positif,untuk program mbkm wirausaha kalau di kampus aku minimal perusahaan yang sudah berjalan,"['untuk', 'program', 'mbkm', 'wirausaha', 'kalau', 'di', 'kampus', 'aku', 'minimal', 'perusahaan', 'yang', 'sudah', 'berjalan']",<FreqDist with 13 samples and 13 outcomes>,"['untuk', 'program', 'mbkm', 'wirausaha', 'kalau', 'di', 'kampus', 'aku', 'minimal', 'perusahaan', 'sudah', 'berjalan']","['untuk', 'program', 'mbkm', 'wirausaha', 'kalau', 'di', 'kampus', 'aku', 'minimal', 'perusahaan', 'sudah', 'berjalan']","['untuk', 'program', 'mbkm', 'wirausaha', 'kalau', 'di', 'kampus', 'aku', 'minimal', 'usaha', 'sudah', 'jalan']"
17,universitas dibawah kemenag gabisa ikut mbkm wkwkwk,Negatif,universitas dibawah kemenag gabisa ikut mbkm wkwkwk,"['universitas', 'dibawah', 'kemenag', 'gabisa', 'ikut', 'mbkm', 'wkwkwk']",<FreqDist with 7 samples and 7 outcomes>,"['universitas', 'dibawah', 'kemenag', 'gabisa', 'ikut', 'mbkm', 'wkwkwk']","['universitas', 'dibawah', 'kemenag', 'gabisa', 'ikut', 'mbkm', 'wkwkwk']","['universitas', 'bawah', 'kemenag', 'gabisa', 'ikut', 'mbkm', 'wkwkwk']"
18,Setahu aku kalau mbkm udah diacc itu engga bisa dibatalkan nder. Bisa tapi prosesnya lama banget dan bayar,Negatif,setahu aku kalau mbkm udah diacc itu engga bisa dibatalkan nder bisa tapi prosesnya lama banget dan bayar,"['setahu', 'aku', 'kalau', 'mbkm', 'udah', 'diacc', 'itu', 'engga', 'bisa', 'dibatalkan', 'nder', 'bisa', 'tapi', 'prosesnya', 'lama', 'banget', 'dan', 'bayar']",<FreqDist with 17 samples and 18 outcomes>,"['setahu', 'aku', 'kalau', 'mbkm', 'udah', 'diacc', 'itu', 'engga', 'bisa', 'dibatalkan', 'nder', 'bisa', 'tapi', 'prosesnya', 'lama', 'dan', 'bayar']","['setahu', 'aku', 'kalau', 'mbkm', 'udah', 'diacc', 'itu', 'engga', 'bisa', 'dibatalkan', 'nder', 'bisa', 'tapi', 'prosesnya', 'lama', 'dan', 'bayar']","['tahu', 'aku', 'kalau', 'mbkm', 'udah', 'diacc', 'itu', 'engga', 'bisa', 'batal', 'nder', 'bisa', 'tapi', 'proses', 'lama', 'dan', 'bayar']"
19,"mbkm kaya tai ayam, kalo udah keinjek bikin pincang",Negatif,mbkm kaya tai ayam kalo udah keinjek bikin pincang,"['mbkm', 'kaya', 'tai', 'ayam', 'kalo', 'udah', 'keinjek', 'bikin', 'pincang']",<FreqDist with 9 samples and 9 outcomes>,"['mbkm', 'kaya', 'tai', 'ayam', 'kalo', 'udah', 'keinjek', 'pincang']","['mbkm', 'kaya', 'tai', 'ayam', 'kalo', 'udah', 'keinjek', 'pincang']","['mbkm', 'kaya', 'tai', 'ayam', 'kalo', 'udah', 'keinjek', 'pincang']"
20,"Apalagi sama pak menteri yang sekarang, adanya MBKM, keliatan banget kurikulum pendidikan cuma diarahkan buat mementingkan kebutuhan industri",Positif,apalagi sama pak menteri yang sekarang adanya mbkm keliatan banget kurikulum pendidikan cuma diarahkan buat mementingkan kebutuhan industri,"['apalagi', 'sama', 'pak', 'menteri', 'yang', 'sekarang', 'adanya', 'mbkm', 'keliatan', 'banget', 'kurikulum', 'pendidikan', 'cuma', 'diarahkan', 'buat', 'mementingkan', 'kebutuhan', 'industri']",<FreqDist with 18 samples and 18 outcomes>,"['apalagi', 'pak', 'menteri', 'sekarang', 'adanya', 'mbkm', 'keliatan', 'kurikulum', 'pendidikan', 'cuma', 'diarahkan', 'buat', 'mementingkan', 'kebutuhan', 'industri']","['apalagi', 'pak', 'menteri', 'sekarang', 'adanya', 'mbkm', 'keliatan', 'kurikulum', 'pendidikan', 'cuma', 'diarahkan', 'buat', 'mementingkan', 'kebutuhan', 'industri']","['apalagi', 'pak', 'menteri', 'sekarang', 'ada', 'mbkm', 'liat', 'kurikulum', 'didik', 'cuma', 'arah', 'buat', 'penting', 'butuh', 'industri']"
21,berasa didikte sama bem kalo narasi tentang program mbkm saat ini menyempitkan aktivitas intelektual ,Negatif,berasa didikte sama bem kalo narasi tentang program mbkm saat ini menyempitkan aktivitas intelektual,"['berasa', 'didikte', 'sama', 'bem', 'kalo', 'narasi', 'tentang', 'program', 'mbkm', 'saat', 'ini', 'menyempitkan', 'aktivitas', 'intelektual']",<FreqDist with 14 samples and 14 outcomes>,"['berasa', 'didikte', 'bem', 'kalo', 'narasi', 'tentang', 'program', 'mbkm', 'saat', 'menyempitkan', 'aktivitas', 'intelektual']","['berasa', 'didikte', 'bem', 'kalo', 'narasi', 'tentang', 'program', 'mbkm', 'saat', 'menyempitkan', 'aktivitas', 'intelektual']","['asa', 'dikte', 'bem', 'kalo', 'narasi', 'tentang', 'program', 'mbkm', 'saat', 'sempit', 'aktivitas', 'intelektual']"
22,Program KampusMengajar merupakan bagian dari Merdeka Belajar Kampus Merdeka (MBKM). Program ini digelar dalam rangka,Positif,program kampusmengajar merupakan bagian dari merdeka belajar kampus merdeka mbkm program ini digelar dalam rangka,"['program', 'kampusmengajar', 'merupakan', 'bagian', 'dari', 'merdeka', 'belajar', 'kampus', 'merdeka', 'mbkm', 'program', 'ini', 'digelar', 'dalam', 'rangka']",<FreqDist with 13 samples and 15 outcomes>,"['program', 'kampusmengajar', 'merupakan', 'bagian', 'dari', 'merdeka', 'belajar', 'kampus', 'merdeka', 'mbkm', 'program', 'digelar', 'dalam', 'rangka']","['program', 'kampusmengajar', 'merupakan', 'bagian', 'dari', 'merdeka', 'belajar', 'kampus', 'merdeka', 'mbkm', 'program', 'digelar', 'dalam', 'rangka']","['program', 'kampusmengajar', 'rupa', 'bagi', 'dari', 'merdeka', 'ajar', 'kampus', 'merdeka', 'mbkm', 'program', 'gelar', 'dalam', 'rangka']"
23,Tau gitu mending nekat daftar magang MBKM,Positif,tau gitu mending nekat daftar magang mbkm,"['tau', 'gitu', 'mending', 'nekat', 'daftar', 'magang', 'mbkm']",<FreqDist with 7 samples and 7 outcomes>,"['mending', 'nekat', 'daftar', 'magang', 'mbkm']","['mending', 'nekat', 'daftar', 'magang', 'mbkm']","['mending', 'nekat', 'daftar', 'magang', 'mbkm']"
24,"Bisa masuk program wirausaha, proyekmandiri, KKN dll ada 8 MBKM ko kalo skema ditentukan menurut saya malah jauh",Positif,bisa masuk program wirausaha proyekmandiri kkn dll ada mbkm ko kalo skema ditentukan menurut saya malah jauh,"['bisa', 'masuk', 'program', 'wirausaha', 'proyekmandiri', 'kkn', 'dll', 'ada', 'mbkm', 'ko', 'kalo', 'skema', 'ditentukan', 'menurut', 'saya', 'malah', 'jauh']",<FreqDist with 17 samples and 17 outcomes>,"['bisa', 'masuk', 'program', 'wirausaha', 'proyekmandiri', 'kkn', 'dll', 'ada', 'mbkm', 'ko', 'kalo', 'skema', 'ditentukan', 'menurut', 'saya', 'malah', 'jauh']","['bisa', 'masuk', 'program', 'wirausaha', 'proyekmandiri', 'kkn', 'dll', 'ada', 'mbkm', 'ko', 'kalo', 'skema', 'ditentukan', 'menurut', 'saya', 'malah', 'jauh']","['bisa', 'masuk', 'program', 'wirausaha', 'proyekmandiri', 'kkn', 'dll', 'ada', 'mbkm', 'ko', 'kalo', 'skema', 'tentu', 'turut', 'saya', 'malah', 'jauh']"
25,di linked diliat liat yang baru jadi engineer di traveloka kebanyakan graduate dari mbkm di traveloka juga yah,Positif,di linked diliat liat yang baru jadi engineer di traveloka kebanyakan graduate dari mbkm di traveloka juga yah,"['di', 'linked', 'diliat', 'liat', 'yang', 'baru', 'jadi', 'engineer', 'di', 'traveloka', 'kebanyakan', 'graduate', 'dari', 'mbkm', 'di', 'traveloka', 'juga', 'yah']",<FreqDist with 15 samples and 18 outcomes>,"['di', 'linked', 'diliat', 'liat', 'baru', 'jadi', 'engineer', 'di', 'traveloka', 'kebanyakan', 'graduate', 'dari', 'mbkm', 'di', 'traveloka', 'juga', 'yah']","['di', 'linked', 'diliat', 'liat', 'baru', 'jadi', 'engineer', 'di', 'traveloka', 'kebanyakan', 'graduate', 'dari', 'mbkm', 'di', 'traveloka', 'juga', 'yah']","['di', 'linked', 'liat', 'liat', 'baru', 'jadi', 'engineer', 'di', 'traveloka', 'banyak', 'graduate', 'dari', 'mbkm', 'di', 'traveloka', 'juga', 'yah']"
26,"Apalagi sekarang tawaran magang tuh banyak, ada dimana-mana. Termasuk MBKM punya Kemendikbud",Positif,apalagi sekarang tawaran magang tuh banyak ada dimanamana termasuk mbkm punya kemendikbud,"['apalagi', 'sekarang', 'tawaran', 'magang', 'tuh', 'banyak', 'ada', 'dimanamana', 'termasuk', 'mbkm', 'punya', 'kemendikbud']",<FreqDist with 12 samples and 12 outcomes>,"['apalagi', 'sekarang', 'tawaran', 'magang', 'banyak', 'ada', 'dimanamana', 'termasuk', 'mbkm', 'punya', 'kemendikbud']","['apalagi', 'sekarang', 'tawaran', 'magang', 'banyak', 'ada', 'dimanamana', 'termasuk', 'mbkm', 'punya', 'kemendikbud']","['apalagi', 'sekarang', 'tawar', 'magang', 'banyak', 'ada', 'dimanamana', 'masuk', 'mbkm', 'punya', 'kemendikbud']"
27,di prodiku kemarin dijelasin kalau tahun ini mencoba praktekin mbkm. tapi kerja praktik tetep jalan. ,Positif,di prodiku kemarin dijelasin kalau tahun ini mencoba praktekin mbkm tapi kerja praktik tetep jalan,"['di', 'prodiku', 'kemarin', 'dijelasin', 'kalau', 'tahun', 'ini', 'mencoba', 'praktekin', 'mbkm', 'tapi', 'kerja', 'praktik', 'tetep', 'jalan']",<FreqDist with 15 samples and 15 outcomes>,"['di', 'prodiku', 'kemarin', 'dijelasin', 'kalau', 'tahun', 'mencoba', 'praktekin', 'mbkm', 'tapi', 'kerja', 'praktik', 'tetep', 'jalan']","['di', 'prodiku', 'kemarin', 'dijelasin', 'kalau', 'tahun', 'mencoba', 'praktekin', 'mbkm', 'tapi', 'kerja', 'praktik', 'tetep', 'jalan']","['di', 'prodiku', 'kemarin', 'dijelasin', 'kalau', 'tahun', 'coba', 'praktekin', 'mbkm', 'tapi', 'kerja', 'praktik', 'tetep', 'jalan']"
28,"Setuju sof, aku sejauh ini suka mbkm'",Positif,setuju sof aku sejauh ini suka mbkm,"['setuju', 'sof', 'aku', 'sejauh', 'ini', 'suka', 'mbkm']",<FreqDist with 7 samples and 7 outcomes>,"['setuju', 'sof', 'aku', 'sejauh', 'suka', 'mbkm']","['setuju', 'sof', 'aku', 'sejauh', 'suka', 'mbkm']","['tuju', 'sof', 'aku', 'jauh', 'suka', 'mbkm']"
29,pake mbkm dari semester 5 udah pada keteteran di prodiku:(',Negatif,pake mbkm dari semester udah pada keteteran di prodiku,"['pake', 'mbkm', 'dari', 'semester', 'udah', 'pada', 'keteteran', 'di', 'prodiku']",<FreqDist with 9 samples and 9 outcomes>,"['pake', 'mbkm', 'dari', 'semester', 'udah', 'pada', 'keteteran', 'di', 'prodiku']","['pake', 'mbkm', 'dari', 'semester', 'udah', 'pada', 'keteteran', 'di', 'prodiku']","['pake', 'mbkm', 'dari', 'semester', 'udah', 'pada', 'keteter', 'di', 'prodiku']"
30,aKu saran ikut mbkm nder semester depan',Positif,aku saran ikut mbkm nder semester depan,"['aku', 'saran', 'ikut', 'mbkm', 'nder', 'semester', 'depan']",<FreqDist with 7 samples and 7 outcomes>,"['aku', 'saran', 'ikut', 'mbkm', 'nder', 'semester', 'depan']","['aku', 'saran', 'ikut', 'mbkm', 'nder', 'semester', 'depan']","['aku', 'saran', 'ikut', 'mbkm', 'nder', 'semester', 'depan']"
31,"Kenapa anak mbkm pada rajin banget dah, kitanya yang gelagapan woi'",Positif,kenapa anak mbkm pada rajin banget dah kitanya yang gelagapan woi,"['kenapa', 'anak', 'mbkm', 'pada', 'rajin', 'banget', 'dah', 'kitanya', 'yang', 'gelagapan', 'woi']",<FreqDist with 11 samples and 11 outcomes>,"['kenapa', 'anak', 'mbkm', 'pada', 'rajin', 'dah', 'kitanya', 'gelagapan', 'woi']","['kenapa', 'anak', 'mbkm', 'pada', 'rajin', 'dah', 'kitanya', 'gelagapan', 'woi']","['kenapa', 'anak', 'mbkm', 'pada', 'rajin', 'dah', 'kita', 'gelagap', 'woi']"
32,"ini pertukaran program selama 1 semester Dhin, untuk mahasiswa pesertanya bakal dapet biaya pendidikan sama kursus",Positif,ini pertukaran program selama semester dhin untuk mahasiswa pesertanya bakal dapet biaya pendidikan sama kursus,"['ini', 'pertukaran', 'program', 'selama', 'semester', 'dhin', 'untuk', 'mahasiswa', 'pesertanya', 'bakal', 'dapet', 'biaya', 'pendidikan', 'sama', 'kursus']",<FreqDist with 15 samples and 15 outcomes>,"['pertukaran', 'program', 'selama', 'semester', 'dhin', 'untuk', 'mahasiswa', 'pesertanya', 'bakal', 'dapet', 'biaya', 'pendidikan', 'kursus']","['pertukaran', 'program', 'selama', 'semester', 'dhin', 'untuk', 'mahasiswa', 'pesertanya', 'bakal', 'dapet', 'biaya', 'pendidikan', 'kursus']","['tukar', 'program', 'lama', 'semester', 'dhin', 'untuk', 'mahasiswa', 'serta', 'bakal', 'dapet', 'biaya', 'didik', 'kursus']"
33,"Namun, disisi lain kegiatan MBKM menimbulkan disorientasi tujuan awal pendidikan tinggi, mulanya kampus merupakan ",Negatif,namun disisi lain kegiatan mbkm menimbulkan disorientasi tujuan awal pendidikan tinggi mulanya kampus merupakan,"['namun', 'disisi', 'lain', 'kegiatan', 'mbkm', 'menimbulkan', 'disorientasi', 'tujuan', 'awal', 'pendidikan', 'tinggi', 'mulanya', 'kampus', 'merupakan']",<FreqDist with 14 samples and 14 outcomes>,"['namun', 'disisi', 'lain', 'kegiatan', 'mbkm', 'menimbulkan', 'disorientasi', 'tujuan', 'awal', 'pendidikan', 'tinggi', 'mulanya', 'kampus', 'merupakan']","['namun', 'disisi', 'lain', 'kegiatan', 'mbkm', 'menimbulkan', 'disorientasi', 'tujuan', 'awal', 'pendidikan', 'tinggi', 'mulanya', 'kampus', 'merupakan']","['namun', 'sisi', 'lain', 'giat', 'mbkm', 'timbul', 'disorientasi', 'tuju', 'awal', 'didik', 'tinggi', 'mula', 'kampus', 'rupa']"
